ID,Name,DoB,count,DoB_year
http://www.wikidata.org/entity/Q76,Barack Obama,1961-08-04,330,1961.0
http://www.wikidata.org/entity/Q8023,Nelson Mandela,1918-07-18,280,1918.0
http://www.wikidata.org/entity/Q8027,Martin Luther King Jr.,1929-01-15,230,1929.0
http://www.wikidata.org/entity/Q30487,Mikhail Gorbachev,1931-03-02,193,1931.0
http://www.wikidata.org/entity/Q30547,Mother Teresa,1910-08-26,189,1910.0
http://www.wikidata.org/entity/Q33866,Theodore Roosevelt,1858-10-27,187,1858.0
http://www.wikidata.org/entity/Q23685,Jimmy Carter,1924-10-01,185,1924.0
http://www.wikidata.org/entity/Q34296,Woodrow Wilson,1856-12-28,184,1856.0
http://www.wikidata.org/entity/Q1254,Kofi Annan,1938-04-08,173,1938.0
http://www.wikidata.org/entity/Q444,Lech Wałęsa,1943-09-29,169,1943.0
http://www.wikidata.org/entity/Q17293,Tenzin Gyatso,1935-07-06,162,1935.0
http://www.wikidata.org/entity/Q36740,Aung San Suu Kyi,1945-06-19,159,1945.0
http://www.wikidata.org/entity/Q32732,Malala Yousafzai,1997-07-12,144,1997.0
http://www.wikidata.org/entity/Q34211,Yasser Arafat,1929-08-04,144,1929.0
http://www.wikidata.org/entity/Q66107,Henry Kissinger,1923-05-27,136,1923.0
http://www.wikidata.org/entity/Q19673,Al Gore,1948-03-31,127,1948.0
http://www.wikidata.org/entity/Q57410,Shimon Peres,1923-08-01,123,1923.0
http://www.wikidata.org/entity/Q42013,Anwar Sadat,1918-12-25,121,1918.0
http://www.wikidata.org/entity/Q1267,Dag Hammarskjöld,1905-07-29,120,1905.0
http://www.wikidata.org/entity/Q2514,Willy Brandt,1913-12-18,117,1913.0
http://www.wikidata.org/entity/Q49325,Albert Schweitzer,1875-01-14,117,1875.0
http://www.wikidata.org/entity/Q43179,Ellen Johnson Sirleaf,1938-10-29,116,1938.0
http://www.wikidata.org/entity/Q41617,Liu Xiaobo,1955-12-28,114,1955.0
http://www.wikidata.org/entity/Q43033,Desmond Tutu,1931-10-07,113,1931.0
http://www.wikidata.org/entity/Q46795,Wangari Muta Maathai,1940-04-01,113,1940.0
http://www.wikidata.org/entity/Q48983,Linus Pauling,1901-02-28,111,1901.0
http://www.wikidata.org/entity/Q72292,Fridtjof Nansen,1861-10-10,111,1861.0
http://www.wikidata.org/entity/Q997,Andrei Sakharov,1921-05-21,109,1921.0
http://www.wikidata.org/entity/Q34060,Yizhak Rabin,1922-03-01,109,1922.0
http://www.wikidata.org/entity/Q43969,Muhammad Yunus,1940-06-28,108,1940.0
http://www.wikidata.org/entity/Q131152,Shirin Ebadi,1947-06-21,105,1947.0
http://www.wikidata.org/entity/Q12091,Henry Dunant,1828-05-08,104,1828.0
http://www.wikidata.org/entity/Q18391,Elie Wiesel,1928-09-30,103,1928.0
http://www.wikidata.org/entity/Q18456,Bertha von Suttner,1843-06-09,100,1843.0
http://www.wikidata.org/entity/Q57311,Juan Manuel Santos,1951-08-10,100,1951.0
http://www.wikidata.org/entity/Q151414,George Marshall,1880-12-31,100,1880.0
http://www.wikidata.org/entity/Q29230,Martti Ahtisaari,1937-06-23,99,1937.0
http://www.wikidata.org/entity/Q22007112,Nadia Murad Basee,1994-03-10,97,1994.0
http://www.wikidata.org/entity/Q130873,Menachem Begin,1913-08-16,94,1913.0
http://www.wikidata.org/entity/Q104622,Tawakkol Karman,1979-02-07,91,1979.0
http://www.wikidata.org/entity/Q180989,Jane Addams,1860-09-06,90,1860.0
http://www.wikidata.org/entity/Q45785,Kim Dae-jung,1924-01-06,89,1924.0
http://www.wikidata.org/entity/Q50365049,Abiy Ahmed Ali,1976-08-15,89,1976.0
http://www.wikidata.org/entity/Q107037,Leymah Roberta Gbowee,1972-02-01,87,1972.0
http://www.wikidata.org/entity/Q151813,F. W. de Klerk,1936-03-18,86,1936.0
http://www.wikidata.org/entity/Q188620,Rigoberta Menchú,1959-01-09,86,1959.0
http://www.wikidata.org/entity/Q133308,Mohamed ElBaradei,1942-06-17,82,1942.0
http://www.wikidata.org/entity/Q179871,Eisaku Satō,1901-03-27,81,1901.0
http://www.wikidata.org/entity/Q4967771,Narges Mohammadi,1972-04-21,81,1972.0
http://www.wikidata.org/entity/Q103955,Gustav Stresemann,1878-05-10,80,1878.0
http://www.wikidata.org/entity/Q154824,Norman Borlaug,1914-03-25,80,1914.0
