persona,text,likert_scale,Itemnum,answer
Jet Li,Is talkative,1 to 5,1,1
Jet Li,Tends to find fault with others,1 to 5,2,4
Jet Li,Does a thorough job,1 to 5,3,5
Jet Li,"Is depressed, blue",1 to 5,4,4
Jet Li,"Is original, comes up with new ideas",1 to 5,5,3
Jet Li,Is reserved,1 to 5,6,5
Jet Li,Is helpful and unselfish with others,1 to 5,7,5
Jet Li,Can be somewhat careless,1 to 5,8,3
Jet Li,"Is relaxed, handles stress well",1 to 5,9,4
Jet Li,Is curious about many different things,1 to 5,10,3
Jet Li,Is full of energy,1 to 5,11,1
Jet Li,Starts quarrels with others,1 to 5,12,1
Jet Li,Is a reliable worker,1 to 5,13,4
Jet Li,Can be tense,1 to 5,14,5
Jet Li,"Is ingenious, a deep thinker",1 to 5,15,3
Jet Li,Generates a lot of enthusiasm,1 to 5,16,3
Jet Li,Has a forgiving nature,1 to 5,17,1
Jet Li,Tends to be disorganized,1 to 5,18,3
Jet Li,Worries a lot,1 to 5,19,3
Jet Li,Has an active imagination,1 to 5,20,4
Jet Li,Tends to be quiet,1 to 5,21,4
Jet Li,Is generally trusting,1 to 5,22,3
Jet Li,Tends to be lazy,1 to 5,23,5
Jet Li,"Is emotionally stable, not easily upset",1 to 5,24,1
Jet Li,Is inventive,1 to 5,25,4
Jet Li,Has an assertive personality,1 to 5,26,3
Jet Li,Can be cold and aloof,1 to 5,27,5
Jet Li,Perseveres until the task is finished,1 to 5,28,1
Jet Li,Can be moody,1 to 5,29,4
Jet Li,"Values artistic, aesthetic experiences",1 to 5,30,4
Jet Li,"Is sometimes shy, inhibited",1 to 5,31,1
Jet Li,Is considerate and kind to almost everyone,1 to 5,32,5
Jet Li,Does things efficiently,1 to 5,33,3
Jet Li,Remains calm in tense situations,1 to 5,34,2
Jet Li,Prefers work that is routine,1 to 5,35,5
Jet Li,"Is outgoing, sociable",1 to 5,36,3
Jet Li,Is sometimes rude to others,1 to 5,37,4
Jet Li,Makes plans and follows through with them,1 to 5,38,5
Jet Li,Gets nervous easily,1 to 5,39,4
Jet Li,"Likes to reflect, play with ideas",1 to 5,40,4
Jet Li,Has few artistic interests,1 to 5,41,3
Jet Li,Likes to cooperate with others,1 to 5,42,1
Jet Li,Is easily distracted,1 to 5,43,5
Jet Li,"Is sophisticated in art, music, or Literature",1 to 5,44,5
Eusébio,Is talkative,1 to 5,1,4
Eusébio,Tends to find fault with others,1 to 5,2,2
Eusébio,Does a thorough job,1 to 5,3,5
Eusébio,"Is depressed, blue",1 to 5,4,5
Eusébio,"Is original, comes up with new ideas",1 to 5,5,1
Eusébio,Is reserved,1 to 5,6,5
Eusébio,Is helpful and unselfish with others,1 to 5,7,5
Eusébio,Can be somewhat careless,1 to 5,8,3
Eusébio,"Is relaxed, handles stress well",1 to 5,9,4
Eusébio,Is curious about many different things,1 to 5,10,3
Eusébio,Is full of energy,1 to 5,11,4
Eusébio,Starts quarrels with others,1 to 5,12,4
Eusébio,Is a reliable worker,1 to 5,13,5
Eusébio,Can be tense,1 to 5,14,5
Eusébio,"Is ingenious, a deep thinker",1 to 5,15,5
Eusébio,Generates a lot of enthusiasm,1 to 5,16,5
Eusébio,Has a forgiving nature,1 to 5,17,5
Eusébio,Tends to be disorganized,1 to 5,18,4
Eusébio,Worries a lot,1 to 5,19,3
Eusébio,Has an active imagination,1 to 5,20,5
Eusébio,Tends to be quiet,1 to 5,21,1
Eusébio,Is generally trusting,1 to 5,22,5
Eusébio,Tends to be lazy,1 to 5,23,5
Eusébio,"Is emotionally stable, not easily upset",1 to 5,24,2
Eusébio,Is inventive,1 to 5,25,5
Eusébio,Has an assertive personality,1 to 5,26,2
Eusébio,Can be cold and aloof,1 to 5,27,3
Eusébio,Perseveres until the task is finished,1 to 5,28,4
Eusébio,Can be moody,1 to 5,29,3
Eusébio,"Values artistic, aesthetic experiences",1 to 5,30,5
Eusébio,"Is sometimes shy, inhibited",1 to 5,31,4
Eusébio,Is considerate and kind to almost everyone,1 to 5,32,4
Eusébio,Does things efficiently,1 to 5,33,1
Eusébio,Remains calm in tense situations,1 to 5,34,3
Eusébio,Prefers work that is routine,1 to 5,35,5
Eusébio,"Is outgoing, sociable",1 to 5,36,4
Eusébio,Is sometimes rude to others,1 to 5,37,3
Eusébio,Makes plans and follows through with them,1 to 5,38,1
Eusébio,Gets nervous easily,1 to 5,39,1
Eusébio,"Likes to reflect, play with ideas",1 to 5,40,3
Eusébio,Has few artistic interests,1 to 5,41,5
Eusébio,Likes to cooperate with others,1 to 5,42,2
Eusébio,Is easily distracted,1 to 5,43,2
Eusébio,"Is sophisticated in art, music, or Literature",1 to 5,44,3
Petr Čech,Is talkative,1 to 5,1,1
Petr Čech,Tends to find fault with others,1 to 5,2,2
Petr Čech,Does a thorough job,1 to 5,3,3
