ID,Name,count,DoB
http://www.wikidata.org/entity/Q2831,Michael Jackson,310,
http://www.wikidata.org/entity/Q22686,Donald Trump,307,
http://www.wikidata.org/entity/Q9960,Ronald Reagan,306,
http://www.wikidata.org/entity/Q882,Charlie Chaplin,247,
http://www.wikidata.org/entity/Q7241,Rabindranath Tagore,236,
http://www.wikidata.org/entity/Q4616,Marilyn Monroe,230,
http://www.wikidata.org/entity/Q5577,Salvador Dalí,230,
http://www.wikidata.org/entity/Q8704,Walt Disney,200,
http://www.wikidata.org/entity/Q4612,Marlene Dietrich,191,
http://www.wikidata.org/entity/Q4605,Sarah Bernhardt,186,
http://www.wikidata.org/entity/Q1744,Madonna,184,
http://www.wikidata.org/entity/Q392,Bob Dylan,179,
http://www.wikidata.org/entity/Q1203,John Lennon,177,
http://www.wikidata.org/entity/Q12897,Pelé,174,
http://www.wikidata.org/entity/Q5608,Eminem,168,
http://www.wikidata.org/entity/Q17515,Diego Maradona,167,
http://www.wikidata.org/entity/Q8877,Steven Spielberg,166,
http://www.wikidata.org/entity/Q78516,Anna Netrebko,166,
http://www.wikidata.org/entity/Q36153,Beyoncé,165,
http://www.wikidata.org/entity/Q1779,Louis Armstrong,165,
http://www.wikidata.org/entity/Q13909,Angelina Jolie,163,
http://www.wikidata.org/entity/Q83287,Selena Gomez,160,
http://www.wikidata.org/entity/Q83338,Robin Williams,158,
http://www.wikidata.org/entity/Q16397,Bruce Lee,156,
http://www.wikidata.org/entity/Q25089,Woody Allen,156,
http://www.wikidata.org/entity/Q7546,Ingmar Bergman,155,
http://www.wikidata.org/entity/Q34424,Shakira,153,
http://www.wikidata.org/entity/Q26876,Taylor Swift,151,
http://www.wikidata.org/entity/Q38111,Leonardo DiCaprio,151,
http://www.wikidata.org/entity/Q2685,Arnold Schwarzenegger,149,
http://www.wikidata.org/entity/Q34436,Scarlett Johansson,149,
http://www.wikidata.org/entity/Q44301,Jim Morrison,147,
http://www.wikidata.org/entity/Q1362169,Agnez Mo,146,
http://www.wikidata.org/entity/Q221310,Anggun,145,
http://www.wikidata.org/entity/Q11637,Judy Garland,144,
http://www.wikidata.org/entity/Q2599,Paul McCartney,144,
http://www.wikidata.org/entity/Q1631,Édith Piaf,144,
http://www.wikidata.org/entity/Q39829,Stephen King,142,
http://www.wikidata.org/entity/Q37175,Johnny Depp,142,
http://www.wikidata.org/entity/Q36949,Robert De Niro,141,
http://www.wikidata.org/entity/Q4573,Sean Connery,141,
http://www.wikidata.org/entity/Q42786,Audrey Hepburn,138,
http://www.wikidata.org/entity/Q36268,Brigitte Bardot,138,
http://www.wikidata.org/entity/Q39476,Emma Watson,136,
http://www.wikidata.org/entity/Q30449,Avril Lavigne,136,
http://www.wikidata.org/entity/Q41163,Al Pacino,136,
http://www.wikidata.org/entity/Q205707,Bradley Cooper,134,
http://www.wikidata.org/entity/Q34851,Elizabeth Taylor,134,
http://www.wikidata.org/entity/Q10520,David Beckham,132,
http://www.wikidata.org/entity/Q2263,Tom Hanks,132,
http://www.wikidata.org/entity/Q44461,Richard Dawkins,132,
http://www.wikidata.org/entity/Q12881,Paulo Coelho,131,
http://www.wikidata.org/entity/Q32927,Valery Leontiev,131,
http://www.wikidata.org/entity/Q5383,David Bowie,130,
